"Distancía absoluta [m]
01/01/2020",Número de soldadura,SMYS [psi],Diámetro [mm],Espesor [mm],Elevación [m],Latitud[º] / Este,Longitud [º]/ Norte,Feature typev (don't incude blank),Inclinación - Pitch [grados] - desde Extraer GW - Interpolar,Azimuth - [Grados] - desde Extraer GW - Interpolar,Distancia de Registro [km],Presión de diseño [psi],Presió Interpolada [psi] (desde colmna K),PK [km],Perfil de presión operativa [psi],Distancia de registro perfil operativo [m]
0.832,10,60000,323.85,11.1,1455.917,1186825.087,834868.566,GW,,,0.00832,2962.0,1651.0,0.0,1650.0,0.0
2.22,20,60000,323.85,9.3,1455.915,1186826.292,834869.257,GW,,,0.0222,2482.0,1651.0,163.72423,1650.0004905620565,0.0
3.254,30,60000,323.85,9.3,1455.907,1186827.19,834869.765,GW,,,0.03254,2482.0,1651.0,163.72639,1650.014530687874,2.16
3.739,40,60000,323.85,9.3,1455.902,1186827.611,834870.006,GW,,,0.03739,2482.0,1651.0,163.73090000000002,1650.0533932377575,6.67
6.681,50,60000,323.85,9.3,1455.875,1186830.167,834871.461,GW,,,0.06681,2482.0,1651.0,163.8373,1654.4121357345134,113.07
7.646,60,60000,323.85,10.7,1455.855,1186831.004,834871.94,GW,,,0.07646,2855.0,1651.0,163.8373,1654.4121357345134,113.07
7.824,70,60000,323.85,10.7,1455.853,1186831.158,834872.029,GW,,,0.07824,2855.0,1651.0,163.94822,1654.0907629312303,223.99
9.037,80,60000,323.85,10.7,1455.839,1186832.208,834872.636,GW,,,0.09037,2855.0,1651.0,163.94822,1654.0907629312303,223.99
9.625,90,60000,323.85,10.7,1455.831,1186832.717,834872.928,GW,,,0.09625,2855.0,1651.0,164.09497000000002,1637.0614079850156,370.74
10.035,100,60000,323.85,9.3,1455.826,1186833.074,834873.133,GW,,,0.10035,2482.0,1651.0,164.38683,1636.6796959020808,662.6
18.486,110,60000,323.85,9.3,1454.716,1186840.257,834877.364,GW,,,0.18486,2482.0,1651.0,164.38683,1636.6796959020808,662.6
28.338,120,60000,323.85,9.3,1454.505,1186847.434,834884.009,GW,,,0.28338,2482.0,1651.0,165.54552,1654.532216735939,1821.29
40.836,130,60000,323.85,9.3,1454.217,1186855.226,834893.758,GW,,,0.40836,2482.0,1652.0,167.41122,1937.302964796516,3686.99
50.768,140,60000,323.85,9.3,1453.587,1186861.328,834901.544,GW,,,0.50768,2482.0,1652.0,167.94917,1936.3792429458092,4224.94
62.139,150,60000,323.85,9.3,1452.913,1186869.299,834909.6,GW,,,0.62139,2482.0,1653.0,167.94917,1936.3792429458092,4224.94
73.15,160,60000,323.85,10.7,1452.414,1186877.237,834917.207,GW,,,0.7315,2855.0,1653.0,167.99941,1936.2891137432312,4275.18
80.279,170,60000,323.85,8.7,1452.242,1186882.396,834922.12,GW,,,0.80279,2322.0,1654.0,167.99941,1936.2891137432312,4275.18
84.925,180,60000,323.85,9.3,1452.331,1186885.795,834925.284,GW,,,0.84925,2482.0,1654.0,168.02414000000002,1936.2455139543224,4299.91
95.112,190,60000,323.85,9.3,1452.347,1186893.262,834932.206,GW,,,0.95112,2482.0,1654.0,168.02414000000002,1936.2455139543224,4299.91
104.846,200,60000,323.85,9.3,1452.187,1186900.372,834938.847,GW,,,1.04846,2482.0,1655.0,168.0746,1936.1611818319784,4350.37
115.208,210,60000,323.85,9.3,1451.683,1186906.863,834946.838,GW,,,1.15208,2482.0,1655.0,168.0746,1936.1611818319784,4350.37
122.721,220,60000,323.85,9.3,1451.376,1186910.964,834953.122,GW,,,1.2272100000000001,2482.0,1655.0,168.27211,1938.4634448553693,4547.88
133.249,230,60000,323.85,9.3,1452.424,1186916.398,834962.007,GW,,,1.33249,2482.0,1655.0,168.38336,1935.616827977412,4659.13
143.543,240,60000,323.85,9.3,1454.703,1186921.4,834970.709,GW,,,1.43543,2482.0,1655.0,168.38336,1935.616827977412,4659.13
154.345,250,60000,323.85,9.3,1456.173,1186928.521,834978.379,GW,,,1.54345,2482.0,1655.0,168.81325,1939.027633289468,5089.02
157.555,260,60000,323.85,9.3,1456.203,1186931.273,834980.029,GW,,,1.57555,2482.0,1655.0,169.40998000000002,1913.996661621352,5685.75
167.179,270,60000,323.85,10.7,1456.364,1186939.936,834984.175,GW,,,1.67179,2855.0,1655.0,169.67227,1893.598542067553,5948.04
178.186,280,60000,323.85,9.3,1457.017,1186950.053,834988.45,GW,,,1.78186,2482.0,1655.0,169.67868,1893.739654367677,5954.45
187.618,290,60000,323.85,9.3,1458.052,1186958.697,834992.067,GW,,,1.87618,2482.0,1655.0,170.1595,1891.7703801559808,6435.27
197.923,300,60000,323.85,9.3,1459.094,1186968.153,834995.996,GW,,,1.97923,2482.0,1655.0,170.1595,1891.7703801559808,6435.27
209.005,310,60000,323.85,9.3,1459.506,1186978.355,835000.295,GW,,,2.0900499999999997,2482.0,1655.0,170.35615,1811.5745055156224,6631.92
220.038,320,60000,323.85,10.7,1460.013,1186988.509,835004.57,GW,,,2.20038,2855.0,1655.0,170.36025,1811.96041841173,6636.02
230.947,330,60000,323.85,10.7,1460.477,1186998.758,835008.194,GW,,,2.30947,2855.0,1654.0,170.47098,1797.9972052417345,6746.75
240.142,340,60000,323.85,10.7,1460.698,1187007.831,835009.299,GW,,,2.40142,2855.0,1653.0,170.54514,1811.1356062689067,6820.91
252.355,350,60000,323.85,10.7,1461.205,1187019.797,835011.018,GW,,,2.5235499999999997,2855.0,1651.0,170.54514,1811.1356062689067,6820.91
264.594,360,60000,323.85,10.7,1461.803,1187030.468,835016.758,GW,,,2.64594,2855.0,1650.0,171.51672,1525.9128899883992,7792.49
272.677,370,60000,323.85,10.7,1461.767,1187036.132,835022.476,GW,,,2.72677,2855.0,1649.0,171.52628,1525.9105769542678,7802.05
284.902,380,60000,323.85,10.7,1459.64,1187043.563,835031.852,GW,,,2.84902,2855.0,1648.0,172.12409,1389.1592590596642,8399.86
297.187,390,60000,323.85,10.7,1457.82,1187051.05,835041.267,GW,,,2.97187,2855.0,1646.0,172.13556,1389.3522776280238,8411.33
309.365,400,60000,323.85,10.7,1457.526,1187059.594,835049.861,GW,,,3.0936500000000002,2855.0,1645.0,172.25624,1370.9204355046163,8532.01
321.581,410,60000,323.85,10.7,1457.527,1187070.133,835055.9,GW,,,3.2158100000000003,2855.0,1643.0,172.26777,1370.5700600255043,8543.54
333.81,420,60000,323.85,10.7,1457.485,1187080.651,835062.066,GW,,,3.3381,2855.0,1642.0,172.65135,1444.1356161370034,8927.12
336.324,430,60000,323.85,10.7,1457.442,1187082.69,835063.534,GW,,,3.3632400000000002,2855.0,1642.0,172.66279,1444.8319065890985,8938.56
346.862,440,60000,323.85,10.7,1457.405,1187091.291,835069.614,GW,,,3.46862,2855.0,1640.0,173.36378000000002,1273.7459656956175,9639.55
359.074,450,60000,323.85,10.7,1457.647,1187101.246,835076.677,GW,,,3.5907400000000003,2855.0,1639.0,173.368,1273.677103982453,9643.77
371.302,460,60000,323.85,10.7,1457.897,1187110.661,835084.451,GW,,,3.71302,2855.0,1638.0,173.70107000000002,1211.0666758144034,9976.84
383.517,470,60000,323.85,10.7,1458.087,1187119.239,835093.126,GW,,,3.8351699999999997,2855.0,1638.0,173.71328,1211.296662889947,9989.05
386.479,480,60000,323.85,10.7,1458.086,1187121.237,835095.311,GW,,,3.8647899999999997,2855.0,1638.0,174.15918,1112.477384165683,10434.95
398.717,490,60000,323.85,10.7,1458.037,1187129.362,835104.457,GW,,,3.98717,2855.0,1638.0,174.17082,1112.5360246212051,10446.59
404.805,500,60000,323.85,10.7,1458.075,1187133.339,835109.062,GW,,,4.04805,2855.0,1638.0,174.44103,1084.476128433163,10716.8
410.857,510,60000,323.85,10.7,1458.093,1187137.293,835113.641,GW,,,4.10857,2855.0,1638.0,174.44282,1084.4740602705965,10718.59
423.049,520,60000,323.85,10.7,1458.1,1187144.986,835123.092,GW,,,4.23049,2855.0,1637.0,174.61698,1054.3907525718978,10892.75
435.286,530,60000,323.85,10.7,1458.219,1187152.522,835132.724,GW,,,4.35286,2855.0,1637.0,174.61824,1054.4382226929956,10894.01
447.518,540,60000,323.85,10.7,1458.165,1187160.212,835142.231,GW,,,4.47518,2855.0,1637.0,175.05392,949.1861790290486,11329.69
459.743,550,60000,323.85,10.7,1458.251,1187168.864,835150.818,GW,,,4.59743,2855.0,1637.0,175.06615,949.0508274804351,11341.92
471.965,560,60000,323.85,10.7,1459.084,1187178.255,835158.564,GW,,,4.71965,2855.0,1637.0,175.22382000000002,948.4050651058292,11499.59
484.23,570,60000,323.85,10.7,1458.727,1187187.553,835166.457,GW,,,4.8423,2855.0,1637.0,175.22382000000002,948.4050651058292,11499.59
496.492,580,60000,323.85,10.7,1457.796,1187196.779,835174.444,GW,,,4.96492,2855.0,1637.0,175.24884,977.367887490153,11524.61
508.731,590,60000,323.85,10.7,1457.975,1187205.971,835182.514,GW,,,5.0873099999999996,2855.0,1637.0,175.26105,977.471389300164,11536.82
520.992,600,60000,323.85,10.7,1458.233,1187215.083,835190.701,GW,,,5.209919999999999,2855.0,1637.0,175.38392000000002,991.8596501294433,11659.69
533.232,610,60000,323.85,10.7,1459.136,1187224.097,835198.927,GW,,,5.332319999999999,2855.0,1637.0,175.3945,991.942904408415,11670.27
545.452,620,60000,323.85,10.7,1460.383,1187233.068,835207.121,GW,,,5.45452,2855.0,1637.0,175.67315,1037.4501027429292,11948.92
557.712,630,60000,323.85,10.7,1461.191,1187242.091,835215.359,GW,,,5.57712,2855.0,1637.0,175.67523,1037.270493273445,11951.0
561.809,640,60000,323.85,10.7,1461.16,1187245.118,835218.117,GW,,,5.61809,2855.0,1637.0,175.94314,1063.2386375726396,12218.91
