Zona BS identificador,Distancia de registro [m] - Max. Def 1/01/2020,Latitud  Inicial [º],Longitud [º],Distancia de registro [m] - Inicio 1/01/2020,Latitud  Inicial [º].1,Longitud  Inicial [º],Distancia de registro [m] - Fin 1/01/2020,Latitud Final [º],Longitud Final [º],Elevación [m],Número de soldadura,Comentarios,Espesor de pared [mm],SMYS [Psi],SMTS [Psi],Diámetro [mm],Longitud del BS,Presión interna [psi],Presión interna al 50% [psi],Presión Externa [psi],Temperatura [°C],Deformación vertical [%],Deformación horizontal [%],Deformación total [%] ILI,Deformación vertical [%].1,Deformación horizontal [%].1,Deformación en inspección y monitoreo - sensores fbg o xyz,Deformación vertical [%].2,Deformación horizontal [%].2,Deformación en inspección y monitoreo [%],Deformación vertical [%].3,Deformación horizontal [%].3,Deformación en inspección y monitoreo [%].1
STR 1,1681.423,6.29589519,-75.56179064,1609.826,6.29542079,-75.56222957,1748.082,6.29632947,-75.56137473,1452.754,1600,"Orientación : Vertical, ",9.3,60000,75400,323.85,138.256,1653,826.5,0,43,-0.0021,-0.0001,0.0021,,,,,,,,,
STR 2,5820.258,6.32336541,-75.56200635,5782.32,6.32345054,-75.56168155,5848.815,6.32330129,-75.56225328,1458.587,5220,"Orientación : Vertical, ",9.3,52000,66700,273.0,66.4949999999999,1904,952.0,0,43,-0.0026,0.0008,0.0027,,,,,,,,,
STR 3,8236.094,6.32008599,-75.58175656,8193.136,6.31998354,-75.58140036,8243.5,6.32010075,-75.58181718,1900.78,7390,"Orientación : Vertical, ",9.3,52000,66700,273.0,50.3639999999996,1429,714.5,0,43,0.0026,0.002,0.0033,,,,,,,,,
STR 4,8609.081,6.3199624,-75.58490075,8587.767,6.32008088,-75.58475359,8627.269,6.31986669,-75.58503268,1951.519,7710,"Orientación : Horizontal, On Vertical Bend",9.3,52000,66700,273.0,39.5020000000004,1383,691.5,0,43,0.0054,-0.0063,0.0082,,,,,,,,,
STR 5,9460.386,6.31502831,-75.59011865,9452.732,6.31508611,-75.5900812,9613.331,6.31394777,-75.59095336,2023.97,8460,"Orientación : Vertical, ",9.3,52000,66700,273.0,160.599,1319,659.5,0,43,-0.0031,0.0,0.0031,,,,,,,,,
STR 6,10004.588,6.31177928,-75.59343518,9961.3,6.31212456,-75.59325531,10011.665,6.31172246,-75.59346399,2102.841,8960,"Orientación : Vertical, ",9.3,52000,66700,273.0,50.3650000000016,1210,605.0,0,43,-0.0026,-0.0003,0.0026,,,,,,,,,
STR 7,10130.752,6.31082506,-75.59398708,10089.111,6.31112692,-75.59377926,10163.423,6.31063547,-75.59420379,2125.962,9070,"Orientación : Vertical, ",9.3,52000,66700,273.0,74.3119999999999,1181,590.5,0,43,0.0024,0.0006,0.0025,,,,,,,,,
STR 8,12929.094,6.29840856,-75.61431888,12926.707,6.2984077,-75.61429804,13020.194,6.29843587,-75.61513226,2240.194,11560,"Orientación : Vertical, ",8.7,52000,66700,273.0,93.4869999999992,1037,518.5,0,43,-0.0033,0.0,0.0033,,,,,,,,,
STR 9,13163.258,6.29792673,-75.61623712,13098.245,6.29830502,-75.61580627,13169.266,6.29789138,-75.61627597,2260.719,11760,"Orientación : Vertical, ",8.7,52000,66700,273.0,71.0209999999988,1023,511.5,0,43,-0.0024,-0.001,0.0026,,,,,,,,,
STR 10,14169.67,6.29910776,-75.62410154,14151.976,6.29911973,-75.62394302,14256.985,6.29905338,-75.62488127,2332.766,12660,"Orientación : Horizontal, Possible sliding area",8.7,52000,66700,273.0,105.009,943,471.5,0,43,-0.001,0.0047,0.0048,,,,,,,,,
STR 11,15504.917,6.29979241,-75.6356843,15480.722,6.29967845,-75.6355119,15516.603,6.29984165,-75.6357648,2314.371,13860,"Orientación : Horizontal, ",9.3,52000,66700,273.0,35.8809999999994,973,486.5,0,43,0.0029,0.0033,0.0044,,,,,,,,,
STR 12,23674.423,6.2497947,-75.6457633,23639.036,6.25008347,-75.64588608,23685.78,6.24970398,-75.64571907,1949.256,21410,"Orientación : Vertical, ",7.1,52000,66700,273.0,46.7439999999988,1298,649.0,0,43,-0.0019,0.001,0.0021,,,,,,,,,
STR 13,26720.67,6.22756055,-75.64373496,26699.191,6.22770163,-75.64363668,26758.526,6.22740932,-75.64399496,2066.658,24230,"Orientación : Vertical, ",7.1,52000,66700,273.0,59.3350000000028,1178,589.0,0,43,-0.0022,-0.0004,0.0022,,,,,,,,,
STR 14,27401.341,6.22293368,-75.64546768,27366.448,6.22320409,-75.6455576,27418.129,6.22280321,-75.64544422,1970.483,24810,"Orientación : Horizontal, On Horizontal Bend",7.1,52000,66700,273.0,51.6810000000005,1321,660.5,0,43,-0.0021,-0.0031,0.0038,,,,,,,,,
STR 15,32915.094,6.19513996,-75.67101436,32858.557,6.19530095,-75.67148174,32986.197,6.19479423,-75.67066589,1994.615,30100,"Orientación : Horizontal, ",7.1,52000,66700,273.0,127.639999999999,1265,632.5,0,43,-0.0038,0.004,0.0055,,,,,,,,,
